,Prod. year,Engine volume,Mileage,Cylinders,Airbags,Price
0,2010,3.5,186005,6.0,12,13328
1,2011,3.0,192000,6.0,8,16621
2,2006,1.3,200000,4.0,2,8467
3,2011,2.5,168966,4.0,0,3607
4,2014,1.3,91901,4.0,4,11726
5,2016,2.0,160931,4.0,4,39493
6,2010,1.8,258909,4.0,12,1803
7,2013,2.4,216118,4.0,12,549
8,2014,2.5,398069,4.0,12,1098
9,2007,3.5,128500,6.0,12,26657
10,2014,3.5,184467,6.0,12,941
11,1999,4.0,0,8.0,0,8781
12,1997,1.6,350000,4.0,4,3000
13,2013,3.5,138038,6.0,12,1019
14,2016,2.0,76000,4.0,4,59464
15,2018,2.0,74146,4.0,12,549
16,2016,1.8,121840,4.0,12,7683
17,2016,1.8,54317,4.0,4,28382
18,2006,3.3,295059,6.0,12,549
19,2008,3.5,364523,6.0,12,941
20,2012,1.6,112645,4.0,4,18826
21,2012,1.8,187000,4.0,12,20698
22,2017,2.5,39709,4.0,12,17562
23,2001,2.0,230000,4.0,0,7840
24,1995,1.8,0,4.0,4,4704
25,2006,2.2,210000,4.0,8,20385
26,2008,4.7,0,8.0,0,549
27,2008,1.5,169000,4.0,8,30
28,2011,1.6,158787,4.0,4,14454
29,2009,3.3,420550,6.0,12,12074
30,2007,2.0,180000,6.0,4,15681
31,2014,3.0,175056,6.0,12,19444
32,2000,4.4,200000,8.0,6,6899
33,2008,3.3,287274,6.0,12,125
34,2007,3.0,250000,6.0,10,24462
35,2011,2.0,162000,4.0,4,23235
36,2019,2.0,10200,4.0,12,51746
37,2010,1.3,158000,4.0,4,7527
38,2012,1.6,103490,4.0,4,19121
39,2010,3.5,382746,6.0,12,314
40,2013,2.4,203200,4.0,4,24462
41,2016,2.5,61057,4.0,4,45734
42,2016,1.4,11200,4.0,8,20165
43,2014,2.4,141000,4.0,12,21326
44,2010,3.6,160259,6.0,12,549
45,2013,4.0,239342,6.0,12,220
46,2012,1.5,128000,4.0,8,15681
47,2017,2.0,100734,4.0,4,55390
48,2012,1.5,141500,4.0,8,12544
49,2008,2.3,147000,4.0,8,17249
50,2016,2.0,87768,4.0,4,34889
51,2015,3.0,264014,6.0,0,862
